Keyword,Pincode,Search Status,Timestamp,Brand Name,Tracked Product,Matched,Matched Card,Pack Size,Inventory (stock),Max Cart,Overall Position,Organic Position,Sponsored Position,Is Sponsored,Price (Rs),MRP (Rs),Discount (Rs),Discount % of MRP,Sold Out,Total Results,Match Score,Product URL
peanut butter,560001,ok,2026-09-15T20:54:24,Pintola,Pintola All Natural Peanut Butter,Y,Pintola All Natural Crunchy Peanut Butter (Unsweetened),350 g,12,12,2,2,,False,156,170,14,8.2,False,60,1.0,https://blinkit.com/prn/product/prid/425544
peanut butter,560001,ok,2026-09-15T20:54:24,MyFitness,MyFitness Original Peanut Butter,Y,MyFitness Original Peanut Butter Smooth Spread,510 g,2,2,52,52,,False,281,319,38,11.9,False,60,1.0,https://blinkit.com/prn/product/prid/444823
peanut butter,560001,ok,2026-09-15T20:54:24,,Pedigree Adult Dog Food Chicken & Vegetables,N,,,,,,,,,,,,,,60,0.0,
peanut butter,560001,ok,2026-09-15T20:54:24,,Drools Adult Dog Food,N,,,,,,,,,,,,,,60,0.0,
peanut butter,560001,ok,2026-09-15T20:54:24,,Cetaphil Gentle Skin Cleanser,N,,,,,,,,,,,,,,60,0.0,
peanut butter,560001,ok,2026-09-15T20:54:24,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,60,0.0,
peanut butter,560001,ok,2026-09-15T20:54:24,,The Whole Truth Protein Bar,N,,,,,,,,,,,,,,60,0.6,
peanut butter,560001,ok,2026-09-15T20:54:24,,Yoga Bar Protein Bar,N,,,,,,,,,,,,,,60,0.33,
peanut butter,560001,ok,2026-09-15T20:54:24,,Quaker Oats,N,,,,,,,,,,,,,,60,0.0,
peanut butter,560001,ok,2026-09-15T20:54:24,,Saffola Oats,N,,,,,,,,,,,,,,60,0.0,
dog food,560001,ok,2026-09-15T20:54:55,,Pintola All Natural Peanut Butter,N,,,,,,,,,,,,,,60,0.2,
dog food,560001,ok,2026-09-15T20:54:55,,MyFitness Original Peanut Butter,N,,,,,,,,,,,,,,60,0.0,
dog food,560001,ok,2026-09-15T20:54:55,Pedigree,Pedigree Adult Dog Food Chicken & Vegetables,Y,Pedigree Adult Dry Dog Food - Chicken & Vegetables,1.2 kg,2,2,6,6,,False,313,340,27,7.9,False,60,1.0,https://blinkit.com/prn/product/prid/352647
dog food,560001,ok,2026-09-15T20:54:55,Drools,Drools Adult Dog Food,Y,Drools Chicken & Egg Adult Dry Dog Food,4.2 kg,3,3,46,46,,False,756,925,169,18.3,False,60,1.0,https://blinkit.com/prn/product/prid/430508
dog food,560001,ok,2026-09-15T20:54:55,,Cetaphil Gentle Skin Cleanser,N,,,,,,,,,,,,,,60,0.0,
dog food,560001,ok,2026-09-15T20:54:55,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,60,0.0,
dog food,560001,ok,2026-09-15T20:54:55,,The Whole Truth Protein Bar,N,,,,,,,,,,,,,,60,0.0,
dog food,560001,ok,2026-09-15T20:54:55,,Yoga Bar Protein Bar,N,,,,,,,,,,,,,,60,0.0,
dog food,560001,ok,2026-09-15T20:54:55,,Quaker Oats,N,,,,,,,,,,,,,,60,0.0,
dog food,560001,ok,2026-09-15T20:54:55,,Saffola Oats,N,,,,,,,,,,,,,,60,0.0,
face wash,560001,ok,2026-09-15T20:55:08,,Pintola All Natural Peanut Butter,N,,,,,,,,,,,,,,60,0.2,
face wash,560001,ok,2026-09-15T20:55:08,,MyFitness Original Peanut Butter,N,,,,,,,,,,,,,,60,0.0,
face wash,560001,ok,2026-09-15T20:55:08,,Pedigree Adult Dog Food Chicken & Vegetables,N,,,,,,,,,,,,,,60,0.0,
face wash,560001,ok,2026-09-15T20:55:08,,Drools Adult Dog Food,N,,,,,,,,,,,,,,60,0.0,
face wash,560001,ok,2026-09-15T20:55:08,Cetaphil,Cetaphil Gentle Skin Cleanser,Y,Cetaphil Gentle Skin Cleanser,118 ml,22,22,3,3,,False,404,459,55,12.0,False,60,1.0,https://blinkit.com/prn/product/prid/496038
face wash,560001,ok,2026-09-15T20:55:08,,Simple Kind To Skin Refreshing Facial Wash,N,,,,,,,,,,,,,,60,0.43,
face wash,560001,ok,2026-09-15T20:55:08,,The Whole Truth Protein Bar,N,,,,,,,,,,,,,,60,0.2,
face wash,560001,ok,2026-09-15T20:55:08,,Yoga Bar Protein Bar,N,,,,,,,,,,,,,,60,0.0,
