Keyword,Pincode,Search Status,Timestamp,Position,Is Sponsored,Product ID,Brand Name,Name,Pack Size,Price (Rs),MRP (Rs),Discount (Rs),Discount % of MRP,Inventory (stock),Max Cart,Sold Out,URL
atta pav,560001,ok,2026-07-03T18:08:19,1,TRUE,678905,The Health Factory,The Health Factory Zero Maida Protein Bombay Pav,175 g,56,65,9,13.8,1,1,FALSE,https://blinkit.com/prn/product/prid/678905
atta pav,560001,ok,2026-07-03T18:08:19,2,FALSE,530070,The Health Factory,The Health Factory Zero Maida Bombay Pav,156 g,40,40,0,0,5,5,FALSE,https://blinkit.com/prn/product/prid/530070
atta pav,560001,ok,2026-07-03T18:08:19,3,FALSE,701510,English Oven,English Oven Pav,200 g,35,35,0,0,2,2,FALSE,https://blinkit.com/prn/product/prid/701510
atta pav,560001,ok,2026-07-03T18:08:19,4,FALSE,701470,English Oven,English Oven Zero Maida Pav,200 g,45,45,0,0,1,1,FALSE,https://blinkit.com/prn/product/prid/701470
atta pav,560001,ok,2026-07-03T18:08:19,5,FALSE,498799,The Baker's Dozen,The Baker's Dozen Zero Maida Sourdough Pav,200 g,55,55,0,0,1,1,FALSE,https://blinkit.com/prn/product/prid/498799
atta pav,560001,ok,2026-07-03T18:08:19,6,FALSE,426652,Modern,Modern Wow Pav - 6 pieces,200 g,40,40,0,0,2,2,FALSE,https://blinkit.com/prn/product/prid/426652
atta pav,560001,ok,2026-07-03T18:08:19,7,FALSE,482344,Britannia,Britannia Pav,200 g,40,40,0,0,4,4,FALSE,https://blinkit.com/prn/product/prid/482344
atta pav,560001,ok,2026-07-03T18:08:19,8,FALSE,669341,Baker's Loaf,Baker's Loaf Zero Maida Pav,300 g,63,70,7,10,0,0,TRUE,https://blinkit.com/prn/product/prid/669341
atta pav,560001,ok,2026-07-03T18:08:19,9,FALSE,555304,Protein Chef,"Protein Chef High Protein Pav Bun (No Maida, Multigrain)",140 g,45,45,0,0,0,0,TRUE,https://blinkit.com/prn/product/prid/555304
atta pav,560001,ok,2026-07-03T18:08:19,10,FALSE,114234,Modern,Modern 100% Whole Wheat Bread (Zero Maida),400 g,65,65,0,0,8,8,FALSE,https://blinkit.com/prn/product/prid/114234
atta pav,560001,ok,2026-07-03T18:08:19,11,FALSE,530067,The Health Factory,The Health Factory Zero Maida Whole Wheat Bread,250 g,55,55,0,0,1,1,FALSE,https://blinkit.com/prn/product/prid/530067
atta pav,560001,ok,2026-07-03T18:08:19,12,FALSE,127031,Britannia,Britannia 100% Whole Wheat Bread (No Maida),400 g,65,65,0,0,4,4,FALSE,https://blinkit.com/prn/product/prid/127031
atta pav,560001,ok,2026-07-03T18:08:19,13,FALSE,383411,English Oven,English Oven Zero Maida 100% Whole Wheat Bread,400 g,65,65,0,0,3,3,FALSE,https://blinkit.com/prn/product/prid/383411
atta pav,560001,ok,2026-07-03T18:08:19,14,FALSE,578199,Protein Chef,Protein Chef 32 g Protein Sharbati Wheat Bread (No Maida),250 g,69,69,0,0,1,1,FALSE,https://blinkit.com/prn/product/prid/578199
atta pav,560001,ok,2026-07-03T18:08:19,15,FALSE,335820,Britannia,Britannia Atta Kulcha,250 g,45,45,0,0,1,1,FALSE,https://blinkit.com/prn/product/prid/335820
atta pav,560001,ok,2026-07-03T18:08:19,16,FALSE,544443,Brik Oven,Brik Oven Whole Wheat Sourdough,400 g,110,110,0,0,2,2,FALSE,https://blinkit.com/prn/product/prid/544443
atta pav,560001,ok,2026-07-03T18:08:19,17,FALSE,467351,The Baker's Dozen,The Baker's Dozen Fourgrains Sourdough Bread (Zero Maida),380 g,214,235,21,8.9,1,1,FALSE,https://blinkit.com/prn/product/prid/467351
atta pav,560001,ok,2026-07-03T18:08:19,18,FALSE,467324,The Baker's Dozen,The Baker’s Dozen Whole Wheat Banana Cake,150 g,175,175,0,0,2,2,FALSE,https://blinkit.com/prn/product/prid/467324
atta pav,560001,ok,2026-07-03T18:08:19,19,FALSE,480120,iD,iD Homestyle Whole Wheat Paratha,5 pcs,90,90,0,0,4,4,FALSE,https://blinkit.com/prn/product/prid/480120
atta pav,560001,ok,2026-07-03T18:08:19,20,FALSE,321510,Asal,Asal Whole Wheat Parota,5 pcs,90,95,5,5.3,1,1,FALSE,https://blinkit.com/prn/product/prid/321510
atta pav,560001,ok,2026-07-03T18:08:19,21,FALSE,159,Amul,Amul Salted Butter,100 g,63,63,0,0,50,50,FALSE,https://blinkit.com/prn/product/prid/159
atta pav,560001,ok,2026-07-03T18:08:19,22,FALSE,63628,Amul,Amul Salted Butter (200 g),200 g,130,130,0,0,8,8,FALSE,https://blinkit.com/prn/product/prid/63628
atta pav,560001,ok,2026-07-03T18:08:19,23,FALSE,32416,Amul,Amul Salted Butter (Chiplets),100 g,80,80,0,0,5,5,FALSE,https://blinkit.com/prn/product/prid/32416
atta pav,560001,ok,2026-07-03T18:08:19,24,FALSE,245871,Amul,Amul Unsalted Butter,100 g,65,65,0,0,8,8,FALSE,https://blinkit.com/prn/product/prid/245871
atta pav,560001,ok,2026-07-03T18:08:19,25,FALSE,55504,Amul,Amul Garlic & Herbs Butter,100 g,75,75,0,0,17,17,FALSE,https://blinkit.com/prn/product/prid/55504
atta pav,560001,ok,2026-07-03T18:08:19,26,FALSE,613578,Jus'Amazin,Jus'Amazin Creamy Unsweetened Almond Butter,200 g,399,420,21,5,5,5,FALSE,https://blinkit.com/prn/product/prid/613578
atta pav,560001,ok,2026-07-03T18:08:19,27,FALSE,650022,The Butternut Co.,The Butternut Co. Unsweetened Almond Butter,200 g,419,450,31,6.9,6,6,FALSE,https://blinkit.com/prn/product/prid/650022
atta pav,560001,ok,2026-07-03T18:08:19,28,FALSE,447847,Nutralite,Nutralite DoodhShakti Probiotic Butter,100 g,55,60,5,8.3,1,1,FALSE,https://blinkit.com/prn/product/prid/447847
atta pav,560001,ok,2026-07-03T18:08:19,29,FALSE,447848,Nutralite,Nutralite DoodhShakti Probiotic Butter (500 g),500 g,244,290,46,15.9,1,1,FALSE,https://blinkit.com/prn/product/prid/447848
atta pav,560001,ok,2026-07-03T18:08:19,30,FALSE,479674,Milky Mist,Milky Mist Cooking Unsalted Butter,200 g,154,160,6,3.8,4,4,FALSE,https://blinkit.com/prn/product/prid/479674
atta pav,560001,ok,2026-07-03T18:08:19,31,FALSE,62198,Mother Dairy,Mother Dairy Salted Butter (500 g),500 g,295,295,0,0,1,1,FALSE,https://blinkit.com/prn/product/prid/62198
atta pav,560001,ok,2026-07-03T18:08:19,32,FALSE,36961,Mother Dairy,Mother Dairy Salted Butter,100 g,63,63,0,0,2,2,FALSE,https://blinkit.com/prn/product/prid/36961
atta pav,560001,ok,2026-07-03T18:08:19,33,FALSE,479676,Milky Mist,Milky Mist Chiplet Salted Butter,100 g,90,90,0,0,1,1,FALSE,https://blinkit.com/prn/product/prid/479676
atta pav,560001,ok,2026-07-03T18:08:19,34,FALSE,498972,Nutralite,Nutralite DoodhShakti Probiotic Butter (Tub),500 g,272,309,37,12,1,1,FALSE,https://blinkit.com/prn/product/prid/498972
atta pav,560001,ok,2026-07-03T18:08:19,35,FALSE,544037,Pintola,Pintola Unsweetened Creamy Almond Butter,200 g,356,398,42,10.6,1,1,FALSE,https://blinkit.com/prn/product/prid/544037
atta pav,560001,ok,2026-07-03T18:08:19,36,FALSE,317610,Britannia,Britannia Milk Bread,400 g,60,60,0,0,12,12,FALSE,https://blinkit.com/prn/product/prid/317610
atta pav,560001,ok,2026-07-03T18:08:19,37,FALSE,72209,Modern,Modern White Bread,400 g,60,60,0,0,7,7,FALSE,https://blinkit.com/prn/product/prid/72209
atta pav,560001,ok,2026-07-03T18:08:19,38,FALSE,384010,Modern,Modern Sandwich White Bread,800 g,95,95,0,0,4,4,FALSE,https://blinkit.com/prn/product/prid/384010
atta pav,560001,ok,2026-07-03T18:08:19,39,FALSE,18401,English Oven,English Oven Zero Maida Multigrain Bread,400 g,70,70,0,0,3,3,FALSE,https://blinkit.com/prn/product/prid/18401
atta pav,560001,ok,2026-07-03T18:08:19,40,FALSE,24178,English Oven,English Oven Milk Bread,400 g,55,55,0,0,6,6,FALSE,https://blinkit.com/prn/product/prid/24178
atta pav,560001,ok,2026-07-03T18:08:19,41,FALSE,18403,English Oven,English Oven Sandwich White Bread,400 g,55,55,0,0,4,4,FALSE,https://blinkit.com/prn/product/prid/18403
atta pav,560001,ok,2026-07-03T18:08:19,42,FALSE,544433,Brik Oven,Brik Oven Sourdough Bread,400 g,110,110,0,0,4,4,FALSE,https://blinkit.com/prn/product/prid/544433
atta pav,560001,ok,2026-07-03T18:08:19,43,FALSE,526318,Modern,Modern Milk Plus Milk Bread,350 g,55,55,0,0,3,3,FALSE,https://blinkit.com/prn/product/prid/526318
atta pav,560001,ok,2026-07-03T18:08:19,44,FALSE,628119,Iyengars Bakery,Iyengars Bakery Special Milk Bread,400 g,72,72,0,0,4,4,FALSE,https://blinkit.com/prn/product/prid/628119
atta pav,560001,ok,2026-07-03T18:08:19,45,FALSE,114233,Modern,Modern Multigrain Bread,400 g,70,70,0,0,2,2,FALSE,https://blinkit.com/prn/product/prid/114233
atta pav,560001,ok,2026-07-03T18:08:19,46,FALSE,18396,English Oven,English Oven Brown Bread,400 g,60,60,0,0,1,1,FALSE,https://blinkit.com/prn/product/prid/18396
